x,y,z1,z2,z3,z4
0.55,1.7,-129.075,-2.1356773,-0.0045802,2.1402575
0.55,1.75,-129.0753,-2.1357345,-0.0028198,2.1385544
0.55,1.8,-129.0755,-2.1356861,-0.0013832,2.1370693
0.55,1.85,-129.0756,-2.135552,-0.0002256,2.1357777
0.55,1.9,-129.0756,-2.1353495,0.0006921,2.1346574
0.55,1.95,-129.0755,-2.1350932,0.001405,2.1336882
0.55,2.0,-129.0753,-2.1347954,0.0019438,2.1328516
0.55,2.05,-129.0751,-2.1344662,0.0023355,2.1321306
0.55,2.1,-129.0749,-2.1341145,0.0026048,2.1315096
0.55,2.15,-129.0746,-2.1337488,0.0027744,2.1309743
0.55,2.2,-129.0744,-2.1333766,0.0028647,2.1305119
0.55,2.25,-129.0741,-2.133004,0.0028929,2.1301111
0.55,2.3,-129.0738,-2.1326354,0.0028731,2.1297622
0.55,2.35,-129.0736,-2.1322746,0.0028174,2.1294571
0.55,2.4,-129.0733,-2.1319251,0.0027363,2.1291887
0.55,2.45,-129.073,-2.1315901,0.0026386,2.1289514
0.55,2.5,-129.0728,-2.1312714,0.0025307,2.1287406
0.55,2.55,-129.0726,-2.1309691,0.0024163,2.1285527
0.55,2.6,-129.0723,-2.1306822,0.0022975,2.1283846
0.55,2.65,-129.0721,-2.13041,0.002176,2.1282339
0.55,2.7,-129.0719,-2.1301522,0.0020537,2.1280984
0.55,2.75,-129.0717,-2.129909,0.0019324,2.1279766
0.55,2.8,-129.0716,-2.1296809,0.001814,2.1278669
0.55,2.85,-129.0714,-2.1294675,0.0016993,2.1277682
0.55,2.9,-129.0712,-2.1292683,0.0015888,2.1276795
0.55,2.95,-129.0711,-2.1290824,0.0014826,2.1275998
0.55,3.0,-129.071,-2.1289091,0.0013808,2.1275282
0.55,3.05,-129.0708,-2.1287475,0.0012833,2.1274641
0.55,3.1,-129.0707,-2.1285972,0.0011904,2.1274068
0.55,3.15,-129.0706,-2.1284576,0.001102,2.1273556
0.55,3.2,-129.0705,-2.1283281,0.001018,2.12731
0.55,3.25,-129.0704,-2.128208,0.0009384,2.1272696
0.55,3.3,-129.0703,-2.1280969,0.0008632,2.1272336
0.55,3.35,-129.0703,-2.1279943,0.0007925,2.1272018
0.55,3.4,-129.0702,-2.1278998,0.0007262,2.1271736
0.55,3.45,-129.0701,-2.1278131,0.0006644,2.1271486
0.55,3.5,-129.0701,-2.1277339,0.0006071,2.1271267
0.55,3.55,-129.07,-2.1276617,0.0005542,2.1271075
0.55,3.6,-129.07,-2.1275958,0.0005051,2.1270907
0.55,3.65,-129.0699,-2.1275357,0.0004595,2.1270761
0.55,3.7,-129.0699,-2.1274806,0.0004173,2.1270633
0.55,3.75,-129.0698,-2.1274304,0.0003783,2.1270521
0.55,3.8,-129.0698,-2.1273848,0.0003425,2.1270423
0.55,3.85,-129.0698,-2.1273436,0.00031,2.1270336
0.55,3.9,-129.0697,-2.1273067,0.0002805,2.1270262
0.55,3.95,-129.0697,-2.1272738,0.0002539,2.1270198
0.55,4.0,-129.0697,-2.1272443,0.0002299,2.1270144
0.6,0.5,-128.8701,-0.946455,-0.8442803,1.7907353
