x,y,z1,z2,z3,z4
3.15,0.7,-129.3365,0.0363076,-0.0358962,-0.0004114
3.2,0.5,-129.2657,0.4235376,-0.4231711,-0.0003664
3.2,0.55,-129.2982,0.2733325,-0.2729729,-0.0003596
3.2,0.6,-129.3187,0.1671654,-0.1668071,-0.0003583
3.2,0.65,-129.3307,0.0911556,-0.0907928,-0.0003628
3.2,0.7,-129.3365,0.0362574,-0.0358864,-0.000371
3.25,0.5,-129.2657,0.423509,-0.4231785,-0.0003304
3.25,0.55,-129.2982,0.2733014,-0.2729755,-0.0003258
3.25,0.6,-129.3187,0.1671317,-0.166805,-0.0003267
3.25,0.65,-129.3306,0.0911174,-0.0907861,-0.0003313
3.25,0.7,-129.3365,0.0362154,-0.0358752,-0.0003401
3.25,0.75,-129.3379,-0.003625,0.0039784,-0.0003534
3.3,0.5,-129.2657,0.4234829,-0.4231849,-0.0002979
3.3,0.55,-129.2981,0.2732711,-0.2729774,-0.0002937
3.3,0.6,-129.3186,0.1670964,-0.1668024,-0.000294
3.3,0.65,-129.3306,0.0910774,-0.0907791,-0.0002983
3.3,0.7,-129.3364,0.0361712,-0.0358642,-0.000307
3.3,0.75,-129.3378,-0.0036735,0.0039933,-0.0003197
3.35,0.5,-129.2656,0.4234605,-0.4231916,-0.0002688
3.35,0.55,-129.4495,0.3971188,-0.399256,0.0021372
3.35,0.6,-129.3186,0.1670641,-0.1668003,-0.0002638
3.35,0.65,-129.3306,0.0910405,-0.0907728,-0.0002677
3.35,0.7,-129.3364,0.0361298,-0.0358537,-0.000276
3.35,0.75,-129.3378,-0.0037196,0.0040075,-0.0002878
3.4,0.5,-129.2656,0.4234477,-0.4231984,-0.0002492
3.4,0.55,-129.2981,0.2732268,-0.2729823,-0.0002445
3.4,0.6,-129.3186,0.1670426,-0.1667986,-0.0002439
3.4,0.65,-129.3305,0.0910142,-0.090767,-0.0002472
3.4,0.7,-129.3364,0.0360984,-0.0358441,-0.0002543
3.4,0.75,-129.3378,-0.0037558,0.0040206,-0.0002648
3.45,0.5,-129.2656,0.423438,-0.4232053,-0.0002326
3.45,0.55,-129.4499,0.3964957,-0.3987115,0.0022158
3.45,0.6,-129.3186,0.1670241,-0.1667979,-0.0002262
3.45,0.65,-129.3305,0.0909913,-0.0907624,-0.0002289
3.45,0.7,-129.3364,0.0360712,-0.0358359,-0.0002352
3.45,0.75,-129.3378,-0.0037871,0.0040322,-0.0002451
3.5,0.5,-129.4057,0.5472092,-0.549694,0.0024847
3.5,0.55,-129.298,0.273206,-0.2729877,-0.0002183
3.5,0.6,-129.3185,0.1670151,-0.1667964,-0.0002187
3.5,0.65,-129.3305,0.0909798,-0.0907573,-0.0002225
3.5,0.7,-129.3363,0.0360571,-0.0358274,-0.0002297
3.5,0.75,-129.3377,-0.0038041,0.0040439,-0.0002398
3.55,0.5,-129.2655,0.4234349,-0.4232163,-0.0002185
3.55,0.55,-129.298,0.2732044,-0.272989,-0.0002153
3.55,0.6,-129.3185,0.1670098,-0.1667943,-0.0002155
3.55,0.65,-129.3305,0.0909709,-0.090752,-0.0002189
3.55,0.7,-129.3363,0.0360443,-0.0358191,-0.0002251
3.55,0.75,-129.3377,-0.0038205,0.0040548,-0.0002343
3.6,0.5,-129.2655,0.4234302,-0.4232213,-0.0002088
3.6,0.55,-129.298,0.273196,-0.2729908,-0.0002051
3.6,0.6,-129.3185,0.1669976,-0.166793,-0.0002045
3.6,0.65,-129.3305,0.0909548,-0.0907477,-0.0002071
3.6,0.7,-129.3363,0.0360242,-0.0358121,-0.0002121
3.6,0.75,-129.3377,-0.0038443,0.0040644,-0.0002201
3.65,0.5,-129.2655,0.4234196,-0.4232267,-0.0001928
3.65,0.55,-129.298,0.2731818,-0.2729932,-0.0001885
3.65,0.6,-129.3185,0.1669797,-0.1667924,-0.0001873
3.65,0.65,-129.3304,0.0909335,-0.0907442,-0.0001893
3.65,0.7,-129.3363,0.0359999,-0.0358059,-0.0001939
3.65,0.75,-129.3377,-0.0038719,0.004073,-0.000201
3.7,0.5,-129.4067,0.5462629,-0.5488009,0.002538
3.7,0.55,-129.298,0.2731686,-0.2729957,-0.0001728
3.7,0.6,-129.3185,0.1669638,-0.1667919,-0.0001719
3.7,0.65,-129.3304,0.0909144,-0.090741,-0.0001734
3.7,0.75,-129.3377,-0.0038969,0.0040811,-0.0001842
3.75,0.5,-129.2655,0.423383,-0.4232213,-0.0001617
3.75,0.55,-129.2979,0.2731557,-0.2729984,-0.0001572
3.75,0.6,-129.3184,0.1669474,-0.1667921,-0.0001552
3.75,0.65,-129.3304,0.0908943,-0.0907387,-0.0001556
3.75,0.7,-129.3363,0.0359543,-0.0357955,-0.0001587
3.75,0.75,-129.3376,-0.0039243,0.0040879,-0.0001636
3.8,0.5,-129.2655,0.42339,-0.4232434,-0.0001466
3.8,0.55,-129.2979,0.2731439,-0.2730017,-0.0001421
3.8,0.6,-129.3184,0.1669332,-0.1667928,-0.0001403
3.8,0.7,-129.3362,0.0359363,-0.0357913,-0.0001449
3.8,0.75,-129.3376,-0.0039442,0.0040944,-0.0001501
3.85,0.5,-129.2654,0.4233876,-0.4232484,-0.0001391
3.85,0.55,-129.2979,0.2731398,-0.2730044,-0.0001354
3.85,0.6,-129.3184,0.1669267,-0.166793,-0.0001336
3.85,0.65,-129.3304,0.0908693,-0.0907348,-0.0001344
3.85,0.7,-129.3362,0.0359246,-0.0357871,-0.0001374
3.85,0.75,-129.3376,-0.0039585,0.0041005,-0.0001419
3.9,0.5,-129.2654,0.4233846,-0.4232533,-0.0001312
3.9,0.55,-129.2979,0.2731348,-0.2730071,-0.0001276
3.9,0.6,-129.3184,0.1669192,-0.1667936,-0.0001256
3.9,0.65,-129.3304,0.0908592,-0.0907333,-0.0001258
3.9,0.7,-129.3362,0.0359118,-0.0357837,-0.000128
3.9,0.75,-129.3376,-0.0039735,0.0041058,-0.0001322
3.95,0.5,-129.2654,0.4233805,-0.4232583,-0.0001221
3.95,0.55,-129.2979,0.273128,-0.27301,-0.0001179
3.95,0.6,-129.3184,0.1669102,-0.1667945,-0.0001157
3.95,0.65,-129.3304,0.0908481,-0.0907322,-0.0001159
3.95,0.7,-129.3362,0.0358984,-0.0357807,-0.0001176
3.95,0.75,-129.3376,-0.0039891,0.0041105,-0.0001214
4.0,0.5,-129.2654,0.4233765,-0.4232637,-0.0001128
4.0,0.55,-129.2979,0.2731216,-0.2730133,-0.0001082
4.0,0.6,-129.3184,0.1669014,-0.1667957,-0.0001057
4.0,0.65,-129.3304,0.0908371,-0.0907314,-0.0001056
4.0,0.7,-129.3362,0.0358852,-0.035778,-0.0001072
4.0,0.75,-129.3376,-0.0040042,0.004115,-0.0001107
